Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,4.988552436164199,0.009174811803607222,0.10632427380313272,2.3826553068851775,-0.21805635571031262,-0.20977720974632524,-0.10082345558108764,-0.21222143225565662,0.7135535240874016,-1.017199330884333,0.07683348335154686,1.2845838445440034,0.867403391506461,0.6531437314145979
ABBV,-0.11312330690109894,0.19947872520972307,-0.23855813692877376,1.723953553351524,-0.4128795860126127,-0.03378420659894581,-0.10083154874760017,0.372455554970733,-0.9232886066805377,1.0506621607199806,-0.2827475915543169,-0.26266193427025636,0.30144683627894486,-0.4845885061763525
ABT,-0.27410233818132046,-0.05063465094682004,-0.06555477293792548,-0.2773471450487488,-0.3879956220176149,-0.35490233014272454,-0.1003850300042216,-0.06557103717776619,-0.638733914090896,-0.4103909729491641,-0.5100564589934855,-0.2935802504271671,-0.026704821460127873,-0.11668466762877723
ACN,-0.23321629385625503,-0.0806778406043498,0.013776019957333607,-0.14626843911366366,0.1054351762246592,0.05559443897851911,-0.09987525196214209,-0.1264163078293296,0.7266064916373854,-0.5812399280959591,-0.4779140364479211,-0.3881863657214207,-0.3097786030487809,-0.3325359104980029
ADBE,-0.2571494163302511,-0.013807558838387681,-0.09848959939382763,0.14041938295449777,0.1630931415789224,0.35413754379396906,-0.10016233075281356,-0.2599501659067905,0.8675785411772075,-1.3117664949305314,-0.8453786076003068,-0.36743692751534185,1.2154198760236847,0.7778869442869436
AIG,-0.499841556430855,-0.24853839759764373,-0.31193643588844167,-0.4499349499285457,-0.2823905065266485,-0.2834915566143376,-0.09927590039916978,-0.17047359450869712,0.2671420338779635,0.16106932530046114,-0.3383527750880945,-0.3329783873143024,-0.7985679465611716,-1.5722535856717073
AMD,-0.25269269033761743,0.7423753886740827,0.011783879237163038,-0.3316779639093028,-0.5190916274546766,-0.357666618150275,-0.10010686741394528,-0.2599501659067905,1.9300900997458699,-1.3824626143016192,-0.8378271747306539,0.7892412764943019,0.6635979090806223,-0.616274677870775
AMGN,-0.3484751324764398,-0.04635826701927511,-0.25955518743797934,0.3610806196879027,-0.1130581661704437,0.35966611980907,-0.10058941675174116,0.07583867780675953,-0.9598369158204917,0.3672663401328002,-0.6970160111451751,-0.3734484642551545,0.18569601870625685,-0.19305806326490718
AMT,-0.429785253945419,0.07735529785519242,0.08495378390555777,0.6154190621918579,-0.33579999022322915,-0.279805839270937,-0.10073141295854697,0.20806974279263432,-0.3254626928912904,0.04324245968198163,-0.8451423143269888,-0.39334033564408777,1.4574269484075064,-0.4291212861402181
AMZN,3.0016998160036072,0.09060582354380142,0.26814166767310643,-0.0883533898356613,-0.3042398407661588,-0.3092915780181419,-0.10034591303274444,-0.2599501659067905,0.4681577341477103,-1.3824626143016192,1.0420200251074065,0.9463813650235461,-0.2114095089069751,-0.5756965284587482
AVGO,0.6838193893017267,1.025949919592419,0.09181506431153162,-0.3609182476551328,-0.5118085160415066,-0.30837014868229173,-0.09955566333310678,0.2267526403942878,0.575192068057576,0.20230872826692886,1.3268276332356033,0.32856523205279575,-0.5517856754326023,-0.3565279492914341
AXP,-0.25328735758244847,-0.17303262462551888,-0.11450745805810864,-0.18322021526892576,0.23653118166172096,0.10396947911065214,-0.09994486691138113,-0.20111828095785975,0.6456780928274869,-0.6342620176242749,1.432198290195295,-0.38457770032523014,-0.2666108063962603,0.09206928044331146
BA,-0.3807362433369761,-0.3896125340973498,9.449378701922793,-0.4942474968522331,-1.3730364406488704,-0.5709775093995856,-0.10178114695173572,-0.2599501659067905,1.5802705694063106,0.07859051936752548,-1.7353244304320994,0.001438579970422085,-0.5884592017922659,-2.035508297208642
BAC,-0.042775590024745645,-0.2260889392847841,-0.27639299102840964,-0.437309215604833,-0.4201626974257828,-0.4240095303314861,-0.10010092328034852,-0.15481075917637513,0.935453972437122,0.06091648952475369,0.42157171111365627,0.8207532927553902,-0.27234104488995775,0.7288228234540358
BK,-0.4810641149468116,-0.21524184722113693,-0.2863405484669098,-0.4270779084394491,-0.31637835978810896,-0.29178442063698895,-0.09972575700218345,-0.145365675069391,0.24364669228799332,0.3613749968518761,0.9857058007495675,-0.3370572407362601,-1.323648800533646,0.3497330596601542
BKNG,-0.30835563773689934,-0.04014467184830064,0.0017067161039418565,-0.4942474968522331,8.374801259928207,9.075466207615676,-0.1034268946482617,-0.20736565538296065,1.092089583036925,-1.3824626143016192,0.9709251984012762,-0.4718416061377768,0.4804212852320945,0.4892110148960317
BLK,-0.32378616967267543,-0.13344879594162723,-0.07201329469932567,-0.3279902556166648,1.8691619901140175,1.6694779207200638,-0.09454667912342636,-0.11161210412504075,0.898905663297168,0.05502514624382958,0.30650566021275005,-0.45777334402006986,0.6720022588713787,1.2240927224277274
BMY,-0.39763950435352735,-0.3896125340973498,-0.37698141567452786,-0.20325460881681875,-0.804953750421603,-0.26874868724073514,-0.10071632400403209,-0.08277352684451693,-1.3723106903999724,0.6382681310553028,-0.35929508056987614,-0.07094777151447379,-0.34148592271390665,-2.3764885851733792
BRK-B,0.8976634595656612,-0.29880557586551915,-0.05203384553375553,-0.4942016814635585,2.41418149419958,0.3324839544014903,9.899993006251908,-0.2599501659067905,-0.24975548110138565,-1.3824626143016192,0.21098116387064292,-0.3428200912248951,-1.080686688400875,1.0328506539610949
C,-0.3666066917034278,-0.1903066237075259,-0.336482419967415,-0.4636147870908839,-0.37464325109346974,-0.2613772525539339,-0.09857977376883166,-0.07859874306982097,1.19912391694679,0.8385738026067178,0.6482983026418857,0.023792788745513636,-0.9475541473973048,-0.3070781428105639
CAT,-0.2944100254632814,-0.2165148132660805,-0.17171270735456606,-0.08012148797882579,0.7196442387353373,0.42785189066198126,-0.09999107111906982,-0.18696547083852438,0.33501746513787806,-0.11582380890296559,0.4396545988380279,-0.3964117013379346,-0.33632870806957904,0.058279838737629736
CHTR,-0.4849614948113901,-0.2703825728921569,-0.31596161404561335,-0.3230202625714533,1.3490264500234534,1.0558059830438613,-0.09864275872290508,-0.2599501659067905,0.18099244804807213,-1.3824626143016192,-0.7079115843831918,-0.43136259082282924,-0.44501223150004027,-0.5388212235596308
CL,-0.4535271761355137,-0.12629001351649835,-0.017036706573428907,7.192059439705257,-0.37646402894676223,-0.4147952369729846,-0.10089741432026278,-0.0931956820834742,-1.440186121659887,-0.021562316408181976,-0.00823179126158665,-0.3121561124399744,-0.18906157878155513,-0.0957012700398607
CMCSA,-0.33859835743762773,-0.28337913025335404,-0.34950922842225995,-0.41562783417481725,-0.36250473207151956,-0.3908380742408806,-0.10039815282223909,-0.16259775536666962,0.09745345572817724,0.025568429839209834,-1.0005172988625635,0.21969254831637777,-0.5982006072315514,-0.2762202051798043
COF,-0.46238833246937044,-0.21879812858917655,-0.2934769703178821,-0.4412247360602685,0.05506032228356602,0.12884807117860636,-0.09742912667681165,-0.19285754451684264,1.2147874780067702,-0.3455861968590004,0.6716607276930884,-0.3766289741450847,-0.4186531344290321,0.07332308333262509
COP,-0.3733124221150387,-0.2723471790222726,-0.28623522450735733,-0.3924655950161606,-0.07603568315349574,-0.22267722044822746,-0.09991873558560765,-0.15738668366887013,0.6613416538874672,0.18463469842415706,-1.0022358202506214,-0.22265403036682963,-0.5456734210393251,0.15177938975883126
COST,0.08356434136836197,0.1967393344849328,0.5503198446325355,0.3161071666207547,0.4143604853332909,0.3140553676844873,-0.09969084664832858,-0.18199126038356753,-0.463824148921116,-0.9818512711987891,1.087553049899712,-0.41212942589513174,-0.6490087218756686,-0.9727610023501253
CRM,-0.0587512740749946,0.18835281647131955,0.1517151001351008,-0.23939238174760902,-0.21927020761250762,-0.07985567339145351,-0.09950522964574345,-0.21867606544971405,0.8388620125672439,-1.3824626143016192,0.48816626037251337,-0.2576030361447868,0.6784965291642355,-0.004593209185042873
CSCO,-0.2194230881339503,-0.14223082089813352,-0.22222174343653625,-0.2675919646043186,-0.44626051332297567,-0.41295237830128423,-0.10065013836263734,-0.05790247456973255,-2.5235824283085226,0.4261797729420397,-0.1028074873612867,0.18091751213581692,-0.08801837334269048,0.17175990437474817
CVS,-0.4743295654665629,-0.26633756165255834,-0.3812923847729229,-0.4578663393786276,-0.3485454351962769,-0.29408799397661434,-0.09954759302864655,-0.06456437837610472,-1.1060301523803076,0.373157683413724,-1.5919873645408598,-0.03776427929752771,-0.9068694540920531,-1.0907154612292194
CVX,-0.15801301013341698,-0.22329080185626005,-0.2476647376757514,-0.4164591143058875,-0.03476471847886521,-0.08400210540277928,-0.0989224302086329,-0.05171431989660166,0.29063737546793417,1.233293802428624,-0.5377815606986337,-0.20701449811525297,-0.6772778984445761,-0.5247809313679949
DE,-0.3885395996115705,-0.22160619752113273,-0.12592692169787362,-0.2662893260561396,0.9678769527342181,0.4287733199978316,-0.09898251168206482,-0.20176966862113416,-0.08267749646159585,-0.610696644500579,-0.19881721362917656,-0.4350632254400849,-0.39248504530781386,-0.06222040771048645
DHR,-0.3154291375902508,0.04435249079173642,0.06420931646864175,-0.3497571824281254,-0.26600350584701576,-0.2065522070708497,-0.09928563963344755,-0.1861956525538287,-0.22364954600141848,-1.1644829129074323,-0.5835297841883813,-0.3778113141995099,0.5193869069892371,0.06854010299985729
DIS,-0.2583714856878498,0.024188943313224864,-0.13493442910342204,-0.40360272694174293,-0.42259040123017283,-0.35536304481064956,-0.09964281347645627,-0.17831981933348032,1.126027298666882,-0.5694572415341114,0.0033985378904665114,-0.12404352347779413,-0.46010185953344346,-0.7868419589827363
